tweet_id,emotion,author,content
1957016697,sadness,fritoleva,Had to cancel wow for now
1957017164,sadness,RoxieDax,@fairyfroggie But yeah...I'm sad about my &quot;Ravenclaw&quot; account. I love that account to bits.
1957017522,happiness,Davislb921,"took a math test today. The day before the test, the teacher says bring your calculator. Luke was confident. Teacher decided no calcs."
1957017595,happiness,c10gg3rgirl,"omg, the concert was awesome, madrigals gave me chills on almost every piece...brooks also called up alumni, but i didnt get to go"
1957018061,sadness,lsvdmbfan,Up late with nothin 2 do.....
1957019556,sadness,JMarmo13,sometimes i wish things could go back to the way they were the beginning of last summer
1957020180,sadness,ChickenNuggets,"@kateisbored I feel the same way, but I guess no matter where you are there will always be memes."
1957020385,happiness,itspaigepenales,"I Can`t do 30 minutes of Treadmill  but done 30 minutes for today already, gonna do 20 minutes more"
1957020702,happiness,HD_Fury,Chillin with the roomies. Can't wait for the zombie CLWN CR. Its gonna be 6-8 weeks
1957021305,sadness,AndyClaudine,Cute Malay girl came to seemy room for rent - sadly think it was for her guyfreind   bit misleading and disappointing LOL
1957021321,surprise,FoOie,"@Gurlstrange EpiCentre Wheelock Place, 250 units &amp; for tourists only. Starting today"
1957022799,surprise,dan11ela,@FoxxFiles aw u can't let me in on the secret!
1957023061,surprise,MissxMarisa,"@freshypanda Im sorry  I don't think I stick out, at least compared to what I used to look like."
1957025428,sadness,lungjen,"Everytime I send an email to my coach, I feel a need to practice.   shitty balls.  Lol"
1957026475,sadness,annamaurice,It's pissing me off and not letting me follow ericka
1957027495,sadness,FreddyS87,Is going to sleep not peaceful  wanted to hear him say Good Night but that didn't happen  Good Night everyone....
1957027630,sadness,CforrClemmensen,my mums trying to make me feel ebtter about stopping voting adn not winning shortstack. i almost cried.
1957028656,surprise,Fairywinds,is thinking so much and i'm at work
1957028895,sadness,d0nnadean,I haven't seen Muffin in two whole days!
1957029111,sadness,InNoSenseLost,@YumiFujii i'll miss y'all back... give @LesleyBoudy my regards...
1957029634,surprise,maddy_1212,my gap year is going so quick
1957030545,sadness,faddict,Just found mj mouse flats at DJs. Of course there are none left in my size
1957032114,surprise,johnnypurple,@qi_tah oh no.  *hugs*
1957032228,sadness,tiffanylue,@xoshayzers i knoww  things won't be the samee &lt;/3
1957033043,happiness,carlysialevert,@vinylvickxen i kno i doooo!!!!!!!!!! yall partyin with out me
1957033776,sadness,vivianenguyen,Going to sleep. Gonna fall asleep playing apps again. Tmrw is going to suck
1957034202,sadness,JohnnyFiction,I can't believe the Metal Gear Solid song was stolen    I'm so disappointed  http://bit.ly/YKkSu
1957034566,sadness,mara_nerdgirl,@MacZombieRawr  I wish I had Left 4 Dead. But first I'd need something to play it on...
1957035564,happiness,rondhi,I spilled my beer all over my leg. Wasted half my beer.  Home now. I met a cute girl. Good conversation.
1957038324,sadness,judez_xo,my teeth and head hurts
1957038398,sadness,christynnicole,I HATE rob zombie movies. &amp; the smell of weed. Vommmm.
1957039456,sadness,trixbiscuits,no more arrested development. i am sad.
1957039894,sadness,TheNewBradie,omg i keep losing followers this is so sad  i want 90 one day....thats my goal ;D
1957039922,sadness,jmil1733,I feel so deflated. No more doggy.
1957040172,sadness,kourt_1023,"I just had to empty my trash on the mac. that was one of THE MOST DIFFICULT things I have ever done in my life. 8,000 pictures are GONE."
1957040395,sadness,joe_uberkawaii,im contacting PAWS Philippines so i can find &quot;tiger&quot; a new owner. im so sad. i love my dog soo much
1957040988,sadness,xxkxx07,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to be over
1957041745,sadness,ROBOKAWAII,Fuuudge. Movie store is closed
1957041767,sadness,courtneyyy3,ALO is so sad and quiet and empty tonight
1957042316,sadness,heartbeam,@Mona26 Aw where are you headed to? i just cancelled my trip to Aussie
1957043226,sadness,lindseyrivera,Sad that Christian Lacroix had to file bankruptcy
1957043241,sadness,princessniki1,I dont feel good AT ALL. fuckkk
1957045395,sadness,DudeAsInCool,Have to go to the dreaded DMV tomorrow
1957045692,happiness,Fredrikkk,english class! working on interactive orals
1957047571,sadness,marissazaguirre,Taylor Swift and Joe Jonas looked really good together. I'm kinda sad they broke up.
1957048027,sadness,imsoapee,God I just want to sleep.
1957049167,sadness,theangelicsin,Found my book. Starting a real paper-bound journal tonight. Have an annoying zit above my lip. Makes me look like I have herpes
1957050747,sadness,Nick_Myndflip,@RealBlackWidow But but I dun wanna
1957050890,sadness,queenbmakeup,@imjustlalayone damn girl I'm so down but ya gotta let me know so I can get my kit together &amp; I got a flyer  Any next weekend? I&quot;M DOWN!
1957051517,sadness,sloanquigley,"@JustinOdom dbl booooooo for being sick, flippin blows! ... bahaha i kno i dont have many friends on here either. i feel so lame  haha"
1957052932,sadness,shaghayeghhh,feels sick to my stomach and idkk whyy
1957053338,surprise,savindotme,@justintevya - dude i just saw your SF pics. looks like your mini excursion was pretty kick ass! didn't see any sun while i was there tho
1957053566,sadness,Anime81,"@hello_jodie Um, I was thrown from @JareWolf's van yesterday and had to be taken to the ER"
1957055981,happiness,montanaspeaks,FB is boring   and i wanna sing RIGHT NOW..! *-*
1957056027,sadness,joslinjewels,@judyrey  The link doesn't work
1957058130,surprise,iamQuest,@heavenjones ur supposed to be in BK tho
1957058436,surprise,Miiiiich,Oh no!  Nighty night.
1957058504,happiness,neovile,@celldweller Must... have... new music... I won't sleep until you give us Chapter 1... I might die first though...  Hurry!
1957059348,sadness,chubbbie,my stupid tooooth hurts
1957059917,sadness,MelissaWOOF,@turnitgrey my computers broken and I broke my laptop so I had to use the phone  ahh still on he cause they fucked up my order.
1957062827,sadness,SamG2020,I'm awake. Anybody else awake? Wish I lived in the US since all the fun happens when I'm asleep!
1957063845,sadness,nadanada,@Penguin_J heehee. i love you! i am tired.
1957064575,sadness,barbieprincess,"Morning everyone sorry for going early last night had bad news, felt totally crap   Today is a new day"
1957064908,sadness,Sh33na_C,"how I wish my parents put me into a Chinese school when I was younger. Then, it'll be so much easier for me to get a job..."
1957067988,sadness,whaaalian,@joiskol  being in your room makes me sad.
1957068880,sadness,GarageGlamorous,@CocktailChic oh f*ck! I completely forgot about Thirsty Thursday! oh. my. gaga. this sucks
1957069453,sadness,charubhashini,"if one people did any wrong, the world blames all the people over there, this is the great world which we are living in!  Shit!"
1957070273,surprise,courtneyyy3,@MandyAlwaysKnws nope.  they are all sleeping cuz they live on the east coast.
1957070534,sadness,jjae725,@meljachin: eww. dislike
1957071331,sadness,only1lucylocket,"@SuzyDunkley sorry bout the cat,"
1957072896,sadness,Jsskkaa,missed iron chef
1957073073,sadness,iRoy,@thevowel the DS version sucks
1957073201,sadness,Katja112,what a bad day
1957074101,surprise,Ms_MaryJane,omg i didnt tweet all that much today.... *sadness*
1957075268,happiness,mrs_mcsupergirl,@PandaMayhem noooooooooooo i just look at a lot of pictures   lol lol
1957075370,surprise,inimeg,@CrazyBallerina Not really sleepy ...bored is the right word ... again not much work
1957076048,sadness,hakeem,went to the cd store to search for the cd. But
1957076433,sadness,sayble,I miss my mom..  &quot;May angels lead you in&quot;
1957077552,sadness,krzy415,@chocolovere i feel the same way every day
1957077564,sadness,M_R_Barlow,Can't sleep. Sucks. The one day i have to sleep in and i have to get up and go shopping with mom. Ugh.
1957078157,sadness,LoveRichele,Sleppytime. Really missing my godfather right now. Love you Wayne
1957078740,sadness,KayLove254,So have a headache right now and it sucks
1957079403,sadness,XonneL,"@jwray12 Lakers, baby Lakers!! I'll miss the game tmwr. I have to work  you'll have to keep me posted please"
1957079496,sadness,joanneliyeng,"comfort food of the day: pan mee. though, it didnt taste any good.."
1957079568,sadness,moniquemiranda,misses my baby.
1957080579,sadness,btiggs,I'm poorly and can't sleep
1957082926,sadness,ScottFerrante,has work tom.
1957083616,sadness,Mayceej,today we say goodbye to the second good friend in a week from dmp  but at least the sun is shinning and I'm definately NOT working this pm
1957083641,anger,elDi_irk,fuckin'm transtelecom
1957084165,surprise,FreeBleuDaVinci,@ModelTheany  tee we beefin....what was u supposed to do before leavin????
1957084166,sadness,SteeleKarma,Sometimes the things you say hurt the ones you love most unintentionally.  And you can never ever take it back or fix it.
1957084446,sadness,megan901,@nickkk_ that sucks!
1957084638,sadness,Sweta,Having Fever  dont feel to work
1957084945,sadness,TinaBinaTooReal,missing @MeLDiBiAsE...6 days can't pass quick enough
1957085211,sadness,d3signar,"Working from home today, my back is killing me  Doctor and then physio after later today."
1957086137,happiness,destinyhope92,"@ddlovato demi, just say hi to me and it`s enough. just replay to me please  love you so much!!!"
1957087793,sadness,Quastbabynumbr5,Missing you all deeply
1957088179,happiness,Halo3Junkie,"@mrssunshine96 big now!!! Vanessa is going to be 3 in September, its going by so fast!  its hard cuz Im workin so much, I miss out on alot"
1957088224,sadness,shen_nanigans,"@Ravels sniff sniff  take care ravels! Hopefully we'll be chatting again soon. In the mean time, I'll HELLA miss you."
1957089208,sadness,Dannnielleuhh,I don't want her to leave..
1957089465,happiness,allanmoran,"good lord, just seen the agency work for our upcoming Open Day. Money for Jam"
1957089935,anger,umi78,Working   But it's Fridaaaayyyyy
1957090408,sadness,divinedreams4me,"@KaliyahPjones lmao...thats sad, kinda discourages me 4rom goin if the shit's wack"
1957090493,surprise,FeistyRedheadHB,Got home from work @ 9:45 and JUST finished cleaning. Now I need to eat dinner and don't know what I want!!  Ugh...oh well. Might not eat.
1957090496,sadness,BossTycoonLZ,@WillyNorthpole I wish I was there
1957090643,sadness,synerje,"I miss my little Batty, she was only 3 months old when she got sick, she was always so fun and full of life &lt;3 Even at the very end..."
1957091327,sadness,WeeWifie1981,morning again! I hate mornings. So offensive!
1957091372,sadness,ambieshell,bed bed bed @samuelasanders do you never answer texts anymore?  I thought of you the other day and sent one but never heard back. Sad day
1957092017,sadness,Tinatru,@brianshead waah. We're no longer your peeps.
1957092623,sadness,drewcuano,@angelica_yo LOL wow dawg doesn't sound like you're playing!  I feel bad now haha
1957092921,surprise,Quastbabynumbr5,Extremly deep
1957093069,happiness,StoneFoxapparel,My little foster kittens are getting big...chubba and Winston are going 2 b missed when they get amazing homes.
1957093920,sadness,ebelow,@MariusLT I'm sorry about your bad driving experiences.
1957094323,sadness,VdChiongbian,Already misses @CMontecillo
1957095452,surprise,textdrivebys,@fiercebanana there's relisting fees when you don't complete a sale?  that sucks!
1957096324,sadness,ether_radio,Gutted that the bathroom still isn't free- early work isn't going to happen  . And I need the loo!
1957097329,surprise,karinb_za,@astynes Me too.  Wonder if Mnet will show it...
1957098844,sadness,YoCorina,thank you @ddlovato (: cant wait!!!! ummm btw ima crash still sick
1957098983,sadness,joseaqui,"First my work computer, now my home laptop is fucked."
1957100428,sadness,Frontieruk,@joek949 It's depressing I'm stuck inside all day
1957100791,sadness,truebluboy,i hate being sick. i miss @cynthiasheree @lucyowns and @larilync
1957101953,happiness,_SarahF_,Getting ready for school - second maths test today  also its my last day of 3rd year!! Next week i will officially be in 4th year
1957102054,sadness,oceane23,"Woke Up,I Wanna Stay In My bed"
1957102464,sadness,rscholar,Upsidedown tomato plants died!
1957103831,sadness,Nicolee09x,@ddlovato Caan't Iht Be Earlier? ICant Wait That Long.  Ahar. (:
1957103842,happiness,triciaruth,"Friday yay!! And a bonus, don't have to drive to Wales tonight.  Athough will miss kitten cuddles and going for a ride"
1957104795,surprise,viherrera,I cant use my blackberry today. This sucks.
1957104948,sadness,FMillan,@prncsztalia why do you hate me!?
1957105755,sadness,keymistress,http://twitpic.com/663vr - Wanted to visit the animals but we were too late
1957106328,sadness,alyssainescruz,#jonaswebcast i just missed it!!!!
1957106916,sadness,jessywuv,So exhausted..can't sleep. I don't like these nights
1957107095,sadness,ver0nica,i'm gonna miss all the live Comet action tomorrow! i have to go take care of my cousins and they don't have access to the interwebz
1957107599,surprise,mrscwuby,lol i cant drink!!
1957107658,surprise,evangelinanana,"if bill compton has wii, why can't he have twitter?"
1957108151,sadness,Super_Stevie,@NothinButSin sorry to hear that.
1957109281,sadness,Kuteywithabooty,Just found out I can't drink at this bar! Booo missing e1 at palomino's! No cheers sad face
1957110088,anger,NayNay_Rt,Packing  I don't like it..
1957111072,sadness,awesomeness31,finished a whole box of ice cream
1957112843,happiness,Cecekc,"Ok, other then my shoe, the club is cool. Its fun, and its poppin except 4 the ppl tryna dance wit me"
1957113346,happiness,dantrancisco,"@o0hemmy lol hi emmy, latin would help me study for the aptitude tests to get into grad school ;\ thats why i wanna take it"
1957113650,sadness,janinebonilla,@chrisontv88 btw I am not a wimp
1957114575,sadness,GabbyRose,@queenbmakeup i can't add you on myspace girly  it asks for a last name and email
1957114960,sadness,derntrex,I don't wanna go back to work   sleepy time.
1957116289,sadness,KristenODay,http://bit.ly/3W9w1  NOOOO! he goes for Orlando! OMG  I'm gonna CRY!!!!!!!!
1957116742,surprise,INKDMOM,@MyCakesRock  AAAAAAHHHHHHHH !!!!!  SOOOOOOOO SWEEEEEEET !!!!!!  I miss that age ..... SOOOO MUCH !
1957116748,surprise,Caibear,Just saw a fox!  as i was getting on the freeway... I hope it goes home
1957117050,surprise,wastemyself,recapping on britains got talent. britain seems more talented than america
1957117968,sadness,SueWhitehead,"@johnpopham Morning John, yes I do, however I have a diary clash and sadly can't attend!"
1957118155,sadness,gayasarainblow,I miss my friend
1957118513,sadness,Chassidy7,Yea i just saw this really sad commercial
1957118612,sadness,daftapeth,Hmmm. Using TinyTwitter on a small non-touch screen is really not much fun
1957120549,sadness,NykkiMassengill,Hates having to sleep alone
1957120981,sadness,womanschitchat,I loved johnny carson now I'm going to hate seeing jay leno go
1957121259,sadness,mel95,even though everyone wanted to do a newish song and our teacher agreed :S old grumpy doesn't like us happy  haha
1957121970,sadness,msulatbuku,@razitul ya. i was suffering the whole day yesterday. met dentist and feel a bit better. i still look like rocky balboa though
1957122354,surprise,r3dux,FINALLY...the internet is up. The server is down in Phoenix and it was fucked up.
1957122923,sadness,dezi_a,I didn't get a callback for the play I cried...  oh well I guess it's back to being a techie..
1957123048,happiness,blak4ever,@UniqueMakis Awesome! Wish I could fly out to see her
1957123281,sadness,Veronica_F,@lunafactor I kinda wish I went with you now!.. I can't fall asleep
1957125620,sadness,manuelchao,@Dakshinamurti Not yet... sorry
1957126750,sadness,michul,FALL ASLEEP ON ME AGAIN  But I know how it feels now LOL. Drag Me To Hell tonight! Quite excited
1957128448,happiness,PULLINGTEEETH,someone take me to LA  I NEED TO SEE THE LEMON TREE
1957128473,sadness,milyssa,um... so I don't think my text msgs have a &quot;subject line&quot; ... I fail
1957128727,sadness,caleighbenson,tummy ache.
1957128989,surprise,stevencraig,Math quiz: If Meow =  but Allergies =   then Meow + Allergies = ?
1957130105,happiness,jgomez89,"@hiracdelest who's the one always working now?  oh yeah, still me."
1957130797,sadness,naontiotami,"@askegg I'm sorry, Andrew. I wish there was something I could do..."
1957131196,sadness,mz_kellyy,as if i finsh work at eleven.. IS THAT EVEN ALLOWD?  cauz i really dont want to.. lol
1957131626,sadness,abideinlove,"@AmandaMallard i'm not at chaseton's either  please don't die, my heart will be really sad"
1957131642,happiness,krazedaise,that was an interesting show to say the least. recap tomorrow. first i must sleep. work in am.
1957132647,surprise,CHWong,"@pastorpeterko Hey Peter, thanks for the follow. So many Sydney pastors tweet!!! Shame no Bris pastors are on Twitter; we're behind."
1957133192,surprise,jeanneherawati,"aku kbangun gara2 mimpi @manyolitha, very bad dream"
1957133923,sadness,JackieOshry,"I can't sleep, this is so darn frustrating."
1957134402,sadness,texasraver,@stormyamorette just one of those days where loneliness creeps up on you slaps you in the face.
1957134460,sadness,k8turpin,RIP kelly  fucccccck
1957135976,sadness,Leslieloks,Not feeling too good
1957136360,sadness,cellguru,Ok. Time to nodd off its gonna be a long day tomorrow. Saying goodbye to my car for good
1957137074,sadness,kerriruta,i miss oklahomaaaaa  listening to citizen cope til i pass out.
1957139587,sadness,elizbethunny,its funny. i'm kinda sad on my last day
1957139854,sadness,team_sleep,Jenny fell asleep and didn't come over
1957140211,sadness,sammiejo2502,Wishes you had teased me with movie night
1957140443,sadness,robinsons,@johneast I've missed one this year(!). It's the forbidden fruit. Of all the trees in the garden I munch in disappointment on that one.
1957141622,sadness,Samm_xo,@IvanaE i love it to.. but i knw there gna cut stuff out on tv
1957142001,sadness,MadisonMitchell,@JoannaAngel I do  But Im on a strict diet. . . ugh I feel like if i cheat for one day Ill throw everything up.
1957143236,sadness,ohbrenlee,"So Cal Dachshund Rescue found a home for my foster pup, Max. I'm soooooo sad to see him leave"
1957143446,sadness,gayish,wow I feel like ish  and I really feel bad because those ignorent aholes wont overturn prop 8
1957143564,sadness,AmieeRC,"off to work now, finish about 9pm  booooo."
1957143679,sadness,sammiejo2502,Wishes you hadn't teased me with movie night
1957145383,sadness,brianmcgui,"maybe i should take up drinking again, feel as if i have a ,massive hangover  still not ,yself today"
1957145956,sadness,panopticonisi,should be sleeping.  lost my voice a couple day ago.
1957146363,sadness,cutebabe016,I was too sleepy earlier and i didnt get to see matt
1957146963,sadness,J_Potter,I just realized I spelled &quot;adorable&quot; wrong when I tweeted @mindykaling she must hate me now
1957147399,sadness,shermaineee,how to have a glowing face? my complexion is always so pale
1957147422,sadness,ryandc,"Downloadfestival's lineup isn't as good as i thought it was. There are some other awesome bands doing the festivals, but missing DL"
1957147848,surprise,sammy148,So wish the Carlton game was on live  stupid channel 7 lol.
1957149170,happiness,amandalaur,@Sashairene hahaha oh man please come to pomona i would love to see you everyday instead of like once a year if that
1957150462,sadness,chelsea_playboy,oh no my tweetdeck is malfunctioning :O il have web will its fixd
1957150576,sadness,schamloser,"@ElectraX ...i'm sorry about you are still sick  u know most of them, AND i know that u will guess the &quot;pelzer present&quot; ;-)"
1957151064,sadness,SoupAirCool,@maliciousmandy1 Adam Samberg + new moon trailor = good evening. Too bad my cable is off as of friday
1957151748,sadness,ShamelessAngel,Just got my ass kicked in Tripoly lol  I got such bad cards... i suck
1957152662,sadness,CrysMH,Annnnnnddd another one bites the dust
1957153926,sadness,DaKidMiles,"on my 42nd written fuck.. i get less ideas every day, and every day"
1957155610,sadness,goodwill,@hammett I wish I could have time for my xbox  project all tied
1957157433,surprise,air_nautique,Wow. That hurt way worse than i thought it would.
1957158904,sadness,FeistTheRogue,And trash repops.  Getting it tomorrow night I suppose.
1957160024,sadness,ashthomson,feels like crap whenever she lays down. @)(1+-'$#! I hate heartburn &amp; backaches!
1957160410,sadness,Traaaaaacy,@katiefreeze I miss you!!!! It's lonely and empty without you!  http://yfrog.com/3o3zxoj
1957160428,sadness,Gwakkle,@lozzyx NOICE. I realised that after exams I have 2 more weeks  Forgot about the whole 2 weeks of Unit 4 in term 2 thing :/
1957160631,sadness,CharlotteFoss,Missing Everyone
1957161860,sadness,CASSIEoliver,My sisser is moving tomorrow and of makes me sad  actually I guess technically in a couple of hours since it's already Friday.
1957162894,surprise,ramsey33,No churchill downs for me tomorrow
1957163172,surprise,DJNoxpt,Bahh the police ended the party @ 5!!  Just when i was starting....
1957163968,sadness,CBTheCross,@wired that is so sad
1957164444,surprise,sami_bby,@Jordalynn omg you've never seen 'the Ring' its a creppy ass movie
1957164542,surprise,Mel4Zac,mannnn..... @alllyy_ got an iphone!!! im jealous....
1957165933,sadness,ellabreyes,is still sick  sigh
1957166454,surprise,TeamEdward6,Josh just called me a big bucket of ugly  wish me luck for my audition tweets!
1957166877,sadness,j7en_16,i feel really weird
1957166935,surprise,xmjox,@future_perfect I'm trying to self learn photoshop but it's not going so well!
1957167519,sadness,meeeegaan,my throat hurts  gonna go read and go to bed. text mee!
1957168762,sadness,lizbarnett,fjdskal im really frustrated.
1957168966,sadness,michellequek,Wondering how come mcdonalds take so long to deliver my food.
1957169086,surprise,XxMindyNicolexX,"@desdoulas Ya, the weather has been super weird here. It looked like it was gonna rain today but of course it didn't, darnitt,"
1957169132,sadness,Ndege,"@kenyaimagine ... much more injustice than we can imagine now. It will get worse before it gets better, I am afraid. No doubt here. Sorry"
1957169213,sadness,MEG_B_johnson,Sooo.....I'm kind of sick n tired of the bs that guys dish out  !!!!!!!!
1957169451,sadness,princessniki1,"@StarOnMaineSt idk lol my head hurts. rly bad. &amp; so does my stomach... hmm... personally, i think its from all the #s ive had 2 deal wit"
1957172370,surprise,WillSpringfield,FUCK wasting deodorant... i aint goin no where... i aint havin company  let me funk it to ya!
1957173062,sadness,kevintuk,what a beautiful day - shame I've got to spend it in an office
1957174125,sadness,sesh,Just finished watching the series return of the Chasers War on Everything - really quite crap compared to how it used to be
1957174158,sadness,JenStewartPhoto,Wow just realized haven't checked Twitter since 9am when I saw my to-do list. Good news- got lot done. Bad news-don't know where day went
1957174207,sadness,razearellano,http://twitpic.com/664b7 - miss my bestfriend :'( now she left school
1957174335,surprise,MandyKitKat,OUCH! my earphones just shocked me
1957175219,sadness,samterror,Tummy hurts
1957175385,sadness,opalsdownunder,farewelling an employee tonight...
1957175586,sadness,theloz,"Morning all. The water heating's packed up, so i can't have a bath. I REALLY want a bath!"
1957175992,sadness,EmptiMind,@heavenlyriot Girls are confusing.
1957176048,sadness,motleydeflep6,@ lyrically_Me   Why would you do that to me?!
1957176357,sadness,jasku,Blackout in the city is never good
1957177248,happiness,Idoby2,"@wedplanworkshop . Flights already booked, plus its GGD2 1st birthday. Can't miss that ! especially as we missed GGD1"
1957180598,sadness,weelissa,@half_a_mind Chris and I are staying in Glasgow instead cause there is absolutely no accomodation in Edinburgh due to the marathon
1957181678,sadness,soporificfrog,@t_isfortammy Sad tweets are sad
